sample_id,person,phrase,augmentation,sample_rate,mfcc1_mean,mfcc1_std,mfcc1_min,mfcc1_max,mfcc2_mean,mfcc2_std,mfcc2_min,mfcc2_max,mfcc3_mean,mfcc3_std,mfcc3_min,mfcc3_max,mfcc4_mean,mfcc4_std,mfcc4_min,mfcc4_max,mfcc5_mean,mfcc5_std,mfcc5_min,mfcc5_max,mfcc6_mean,mfcc6_std,mfcc6_min,mfcc6_max,mfcc7_mean,mfcc7_std,mfcc7_min,mfcc7_max,mfcc8_mean,mfcc8_std,mfcc8_min,mfcc8_max,mfcc9_mean,mfcc9_std,mfcc9_min,mfcc9_max,mfcc10_mean,mfcc10_std,mfcc10_min,mfcc10_max,mfcc11_mean,mfcc11_std,mfcc11_min,mfcc11_max,mfcc12_mean,mfcc12_std,mfcc12_min,mfcc12_max,mfcc13_mean,mfcc13_std,mfcc13_min,mfcc13_max,rolloff_mean,rolloff_std,rolloff_min,rolloff_max,energy_mean,energy_std,energy_min,energy_max,zcr_mean,zcr_std,centroid_mean,centroid_std
Egide_Confirm_Transaction.WAV_original,Egide,,Original,44100,-357.2642,78.29712,-565.4669,-219.59917,152.54172,39.999,50.044693,221.64868,-13.539948,25.312418,-95.31305,29.617939,32.944176,33.57745,-21.341366,131.54713,-44.06891,21.927814,-108.58028,0.40723544,14.869564,11.565924,-10.864248,44.845135,-19.48642,13.487787,-57.193176,2.8378053,-7.3036504,7.679116,-27.514015,13.537626,3.3251052,8.406118,-22.79723,24.535957,-18.020592,8.691125,-36.947617,5.3633184,-7.5580597,9.772417,-32.98186,17.770676,-7.450434,6.726394,-23.176151,14.613964,-11.20705,6.9352713,-37.66945,1.2508187,5679.65000215815,2827.3933334567364,1076.66015625,10508.203125,0.0244868,0.02186463,0.0023945498,0.08774982,0.0922150164019337,0.08943400078507856,3021.31653154199,1801.7644401278274
Egide_Confirm_Transaction.WAV_pitch_up,Egide,,Pitch Shift +2,44100,-382.09753,78.63037,-559.8689,-256.65927,137.08176,43.525272,26.578104,205.56212,-10.568603,20.38451,-76.90004,34.209156,20.42022,30.475994,-29.267784,107.89971,-43.947968,22.477383,-102.42636,3.3331666,16.490513,12.697014,-4.097547,44.16893,-26.982023,12.905317,-56.515354,1.9451749,0.49377653,7.6748447,-18.083551,23.019552,-6.9143133,9.433002,-27.624079,17.120922,-20.222202,8.057695,-35.594353,9.823651,-4.08873,10.187704,-35.20737,23.875002,-12.513685,8.667663,-35.96943,7.418707,-7.615059,6.8282223,-26.052872,8.281811,6591.420547738259,3199.201552469127,1528.857421875,11627.9296875,0.016863942,0.015315091,0.0019419208,0.06360154,0.11817485324585636,0.11391221603041145,3526.4062005590044,2056.269420145405
Egide_Confirm_Transaction.WAV_time_stretch,Egide,,Time Stretch 1.1x,44100,-390.3214,75.74882,-571.4575,-270.2146,147.05417,39.998016,47.439682,217.73203,-13.3948345,24.699802,-93.61769,26.125145,34.31031,34.949394,-24.40889,123.24648,-44.134716,22.326868,-96.87002,-1.3399439,14.41052,12.409928,-8.675762,42.879463,-20.693151,13.242904,-52.397713,4.452314,-8.4808,7.3159785,-27.763115,9.402186,4.369357,8.690402,-15.895112,22.856628,-18.778948,9.2017355,-42.830093,6.601347,-6.9078817,9.172929,-26.410332,19.973473,-6.918399,6.326446,-23.69704,11.285871,-10.342736,7.8036504,-38.85036,5.287141,5913.752858231707,2836.284770270833,1033.59375,10400.537109375,0.016860915,0.014970854,0.0024043303,0.064145796,0.10695741234756098,0.10149857912346169,3171.060944254701,1821.7415139715868
Egide_Confirm_Transaction.WAV_noise,Egide,,Background Noise,44100,-158.61511,39.616135,-262.42654,-75.41974,63.08118,30.28976,5.694537,136.07005,23.215689,18.05604,-42.32382,60.65284,12.478454,16.985304,-7.6496534,87.61825,-14.218294,13.433895,-65.11218,5.8699474,-5.6133895,8.364313,-33.320183,19.805313,-8.057504,8.84921,-30.125755,27.206604,-7.427331,6.692428,-24.529688,5.053137,-0.12060425,6.225618,-11.879183,22.370934,-10.139182,8.178415,-35.803986,2.7891083,-7.9818835,7.040195,-26.56509,10.941742,-8.188688,5.874856,-22.155735,7.543522,-6.984105,4.4384713,-20.9829,4.67968,15057.895318974448,3186.45385664005,7665.8203125,18540.087890625,0.0745529,0.062242493,0.012353793,0.25696516,0.2289580455801105,0.10326392134971607,7423.819848429254,1869.5771619524705
Egide_Yes_Approve.WAV_original,Egide,,Original,44100,-396.4939,83.95285,-559.94037,-219.4609,158.1052,43.363434,25.510162,209.3471,-5.6560254,14.0319195,-43.297264,28.401556,0.58460397,39.448082,-49.163765,115.48152,-28.905767,22.56306,-97.935196,2.8631086,29.41734,13.255286,1.7723022,60.55505,-11.644159,17.643608,-69.540985,10.754097,-19.57268,7.50336,-34.156826,-2.2500896,-6.853262,9.178496,-27.83905,17.38259,-2.9221601,10.455094,-28.725952,20.627192,-12.895074,11.8761215,-46.440495,10.085936,-11.488807,8.720388,-30.11314,7.606722,-20.30723,8.291671,-44.23108,-2.2943935,4764.388671875,2951.900852815298,1873.388671875,9926.806640625,0.017987743,0.021895362,0.0030185948,0.1083897,0.08376953125,0.0842733481353754,2731.9543803027177,1655.425788269984
Egide_Yes_Approve.WAV_pitch_up,Egide,,Pitch Shift +2,44100,-427.81326,85.638405,-565.10156,-250.96983,147.38618,48.406708,2.7246141,203.88591,-9.83082,8.0786915,-31.613453,10.5483,-8.129954,32.98991,-51.201263,84.590485,-21.04748,22.563211,-86.3551,5.8001585,28.274914,13.105119,-1.0747783,66.14315,-24.730772,17.106289,-82.91365,-0.9474983,-15.885874,10.902938,-35.801407,12.338099,-4.514773,7.097412,-22.090967,11.10273,-9.058828,12.382817,-47.88939,10.922922,-16.5699,8.22415,-41.004513,0.13080731,-15.068542,8.852419,-33.13356,13.910421,-13.712302,11.592534,-49.80828,11.963999,5508.48046875,3342.0949994047724,1959.521484375,11003.466796875,0.01197202,0.014814046,0.001541285,0.071125224,0.10207465277777777,0.09839827931741447,3144.148651611986,1870.3101337298888
Egide_Yes_Approve.WAV_time_stretch,Egide,,Time Stretch 1.1x,44100,-435.3221,83.69838,-579.65076,-264.58694,157.52855,43.15172,19.991175,206.16646,-7.151757,13.346619,-40.764587,22.662056,2.1001377,39.01861,-46.820957,108.48778,-31.095991,23.130444,-98.38567,3.6823158,29.838326,13.397733,2.2740467,64.63066,-13.247497,18.068138,-75.707756,10.86165,-18.927597,7.967548,-35.16536,-1.3821232,-7.5305905,9.962682,-26.844376,19.555328,-3.5025315,10.512592,-28.334055,21.806664,-14.485285,12.922511,-46.257133,7.8929625,-11.142093,8.879889,-29.992575,7.543072,-20.461723,8.97099,-48.87725,-1.1294153,4822.487505744485,2910.8918159037926,1873.388671875,9689.94140625,0.012093785,0.014289357,0.0018125655,0.068255424,0.0879528569240196,0.08642652964091717,2757.7977762702835,1638.3354348394148
Egide_Yes_Approve.WAV_noise,Egide,,Background Noise,44100,-181.68639,34.446945,-271.39038,-91.74967,52.684097,21.917654,-10.859213,114.67995,17.342726,9.214284,-5.225491,43.871056,4.734945,17.715887,-18.349731,79.61905,-8.290647,13.875318,-62.960674,24.20808,4.776085,8.981282,-12.074362,30.24194,-3.3040884,10.184184,-39.133377,22.715206,-11.994528,10.263594,-47.435432,3.7077699,-3.922846,6.6717978,-17.379948,13.9407015,-8.339325,7.1366906,-29.238443,6.696353,-9.134273,6.1853414,-28.989195,3.326648,-10.182699,4.844056,-26.580725,5.895896,-13.342754,7.3060894,-36.476112,2.1984982,16245.126953125,2745.8934421549493,8893.212890625,18626.220703125,0.052587446,0.057952873,0.012460687,0.2949862,0.2590776909722222,0.08764721056588366,8179.637418229886,1488.533308176829
JD_Confirm_Transaction.WAV_original,JD,,Original,48000,-465.7314,113.62183,-695.3399,-258.09674,128.50255,62.328938,0.0,258.84723,7.4350634,36.11082,-111.06273,62.309525,32.879036,26.556654,-27.858631,145.54855,-2.7806594,26.89386,-70.474075,34.754242,7.0062447,14.3337555,-37.04003,53.9475,9.0897455,12.483074,-35.473236,40.867245,6.3652673,9.684474,-28.343426,34.07319,-4.241755,15.282263,-47.312904,26.133205,9.366217,9.872426,-20.987936,30.316181,3.428764,11.194575,-26.560375,32.081886,0.6807879,10.584438,-26.746727,22.96233,2.5722826,8.636189,-20.830685,28.829468,5809.541112956811,3305.2850226141354,0.0,14718.75,0.02145271,0.029004227,0.0,0.10875827,0.05582141559385382,0.06140003799316127,2903.6439646187273,1610.2832525817862
JD_Confirm_Transaction.WAV_pitch_up,JD,,Pitch Shift +2,48000,-490.16336,114.18707,-706.8645,-294.98206,119.5386,62.537525,0.0,250.05084,11.441505,32.376823,-83.52687,64.4299,27.345871,24.659594,-17.06275,122.06982,-5.3791075,26.896484,-66.94745,34.129337,8.945548,14.30888,-32.841583,61.18544,8.702518,13.170288,-18.66694,43.65039,2.0949388,12.303443,-26.85763,36.21902,-0.87154675,14.250964,-51.268784,28.979393,10.974898,11.5057335,-18.382065,38.24697,-1.8214691,9.544342,-32.991814,17.335,-0.08814176,12.949094,-35.14814,31.904024,1.0814533,8.621785,-22.944527,23.958675,6526.604028239202,3491.9836721382803,960.9375,14062.5,0.016853387,0.02423954,3.475953e-08,0.09377311,0.0626897970307309,0.06473951631052215,3249.550422434194,1710.8001233850923
